MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU
Warszawa,00-117,Chmielna,224
Warszawa,00-801,Chmielna,210
Warszawa,00-805,Chmielna,161
Warszawa,00-791,Chocimska,50
Warszawa,00-559,Chopina Fryderyka,217
Warszawa,00-867,Chlodna,177
Warszawa,00-872,Chlodna,137
Warszawa,00-891,Chlodna,178
Warszawa,00-232,Ciasna,155
Warszawa,00-353,Cicha,153
Warszawa,00-854,Ciepla,28
Warszawa,00-862,Ciepla,189
Warszawa,00-087,Corazziego Antoniego,57
Warszawa,00-087,Corazziego Antoniego,110
Warszawa,00-727,Cybulskiego Zbyszka,15
Warszawa,00-713,Cytrynowa,109
Warszawa,00-043,Czackiego Tadeusza,89
Warszawa,00-043,Czackiego Tadeusza,21
Warszawa,00-416,Czerniakowska,187
Warszawa,00-417,Czerniakowska,128
Warszawa,00-421,Czerniakowska,135
Warszawa,00-436,Czerniakowska,231
Warszawa,00-440,Czerniakowska,30
Warszawa,00-453,Czerniakowska,152
Warszawa,00-454,Czerniakowska,39
Warszawa,00-701,Czerniakowska,162
Warszawa,00-714,Czerniakowska,58
Warszawa,00-715,Czerniakowska,163
Warszawa,00-717,Czerniakowska,101
Warszawa,00-718,Czerniakowska,208
Warszawa,00-720,Czerniakowska,75
Warszawa,00-732,Czerska,36
Warszawa,00-574,Czerwijowskiego Faustyna,206
Warszawa,00-377,Czerwonego Krzyza,146
Warszawa,00-910,Czerwonych Beretow,34
Warszawa,00-713,Daktylowa,70
Warszawa,00-084,Danilowiczowska,133
Warszawa,00-093,Danilowiczowska,1
Warszawa,00-084,Danilowiczowska,206
Warszawa,00-093,Danilowiczowska,16
Warszawa,00-159,Dawidowskiego Alka,134
Warszawa,00-159,Dawidowskiego Alka,239
Warszawa,00-282,Dawna,74
Warszawa,00-427,Dmochowskiego Franciszka Ksawerego,2
Warszawa,00-305,Dobra,93
Warszawa,00-312,Dobra,225
Warszawa,00-344,Dobra,67
Warszawa,00-384,Dobra,41
Warszawa,00-388,Dobra,236
Warszawa,00-895,Dobrzanskiego Bronislawa,141
Warszawa,00-215,Dolanskiego Wlodzimierza,134
Warszawa,00-215,Dolanskiego Wlodzimierza,178
Warszawa,00-773,Dolna,174
Warszawa,00-774,Dolna,147
Warszawa,00-051,Dowcip,182
Warszawa,00-467,Dragonow,179
Warszawa,00-345,Drewniana,106
Warszawa,00-182,Dubois Stanislawa,193
Warszawa,00-184,Dubois Stanislawa,92
Warszawa,00-188,Dubois Stanislawa,69
Warszawa,00-196,Dubois Stanislawa,58
Warszawa,00-182,Dubois Stanislawa,163
Warszawa,00-184,Dubois Stanislawa,170
Warszawa,00-188,Dubois Stanislawa,116
Warszawa,00-196,Dubois Stanislawa,47
Warszawa,00-784,Dworkowa,132
Warszawa,00-354,Dynasy,177
Warszawa,00-712,"Dywizjonu AK ""Jelen""",226
Warszawa,00-707,Dyzewskiego Aleksandra,39
Warszawa,00-279,Dziekania,45
Warszawa,00-154,Dzielna,202
Warszawa,00-162,Dzielna,5
Warszawa,00-154,Dzielna,17
Warszawa,00-162,Dzielna,24
Warszawa,00-172,Dzika,185
Warszawa,00-194,Dzika,72
Warszawa,00-172,Dzika,127
Warszawa,00-194,Dzika,69
Warszawa,00-238,Dluga,170
Warszawa,00-241,Dluga,55
Warszawa,00-263,Dluga,74
Warszawa,00-137,Elektoralna,215
Warszawa,00-139,Elektoralna,113
Warszawa,00-137,Elektoralna,82
Warszawa,00-139,Elektoralna,74
Warszawa,00-892,Elektoralna,157
Warszawa,00-346,Elektryczna,105
Warszawa,00-446,Fabryczna,57
Warszawa,00-713,Figowa,65
Warszawa,00-611,Filtrowa,27
Warszawa,00-586,Flory,17
Warszawa,00-366,Foksal,48
Warszawa,00-372,Foksal,15
Warszawa,00-215,Fondaminskiego Edwarda,216
Warszawa,00-215,Fondaminskiego Edwarda,235
Warszawa,00-200,Franciszkanska,55
Warszawa,00-205,Franciszkanska,174
Warszawa,00-214,Franciszkanska,160
Warszawa,00-200,Franciszkanska,100
Warszawa,00-205,Franciszkanska,136
Warszawa,00-214,Franciszkanska,145
Warszawa,00-227,Franciszkanska,170
Warszawa,00-233,Franciszkanska,130
Warszawa,00-483,Frascati,72
Warszawa,00-492,Frascati,159
Warszawa,00-097,Fredry Aleksandra,55
Warszawa,00-097,Fredry Aleksandra,156
Warszawa,00-227,Freta,16
Warszawa,00-910,Frontowa,203
Warszawa,00-313,Furmanska,172
Warszawa,00-747,Gagarina Jurija,64
Warszawa,00-748,Gagarina Jurija,192
Warszawa,00-753,Gagarina Jurija,190
Warszawa,00-754,Gagarina Jurija,235
Warszawa,00-089,Gamerskiego Tylmana,142
Warszawa,00-089,Gamerskiego Tylmana,162
Warszawa,00-306,Garbarska,129
Warszawa,00-362,Galczynskiego Konstantego Ildefonsa,112
Warszawa,00-068,Generala Tokarzewskiego Karaszewicza Michala,206
Warszawa,00-068,Generala Tokarzewskiego Karaszewicza Michala,230
Warszawa,00-910,Gierczak Emilii,150
Warszawa,00-772,Gierymskiego Aleksandra,28
Warszawa,00-232,Gomulickiego Wiktora,45
Warszawa,00-794,Goworka,81
Warszawa,00-704,Gosciniec,167
Warszawa,00-519,Grabowskiego Antoniego,15
Warszawa,00-130,Graniczna,205
Warszawa,00-308,Grodzka,171
Warszawa,00-785,Grottgera Artura,81
Warszawa,00-713,"Grupy AK ""Polnoc""",34
Warszawa,00-131,Grzybowska,172
Warszawa,00-132,Grzybowska,123
Warszawa,00-131,Grzybowska,136
Warszawa,00-132,Grzybowska,232
Warszawa,00-844,Grzybowska,221
Warszawa,00-855,Grzybowska,25
Warszawa,00-863,Grzybowska,145
Warszawa,00-704,Gwintowa,180
Warszawa,00-432,Gornoslaska,149
Warszawa,00-443,Gornoslaska,170
Warszawa,00-444,Gornoslaska,34
Warszawa,00-447,Gornoslaska,44
Warszawa,00-458,Gornoslaska,9
Warszawa,00-484,Gornoslaska,139
Warszawa,00-740,Gorska,231
Warszawa,00-033,Gorskiego Wojciecha,50
Warszawa,00-033,Gorskiego Wojciecha,133
Warszawa,00-711,Gasocinska,158
Warszawa,00-314,Gesta,75
Warszawa,00-769,Hanczy Wladyslawa,52
Warszawa,00-707,Hempla Stanislawa,83
Warszawa,00-092,Hipoteczna,248
Warszawa,00-092,Hipoteczna,62
Warszawa,00-244,Hipoteczna,119
Warszawa,00-434,Hoene-Wronskiego Jozefa Marii,186
Warszawa,00-459,Hoene-Wronskiego Jozefa Marii nr 1,41
Warszawa,00-749,Holowki Tadeusza,14
Warszawa,00-516,Hoza,78
Warszawa,00-521,Hoza,125
Warszawa,00-528,Hoza,168
Warszawa,00-681,Hoza,186
Warszawa,00-682,Hoza,9
Warszawa,00-730,Huculska,209
Warszawa,00-789,Humanska,93
Warszawa,00-710,Idzikowskiego Ludwika,22
Warszawa,00-442,Idzkowskiego Adama,68
Warszawa,00-189,Inflancka,64
Warszawa,00-735,Iwicka,174
Warszawa,00-378,Jaracza Stefana,55
Warszawa,00-003,Jasna,169
Warszawa,00-007,Jasna,223
Warszawa,00-013,Jasna,204
Warszawa,00-041,Jasna,161
Warszawa,00-054,Jasna,170
Warszawa,00-058,Jasna,119
Warszawa,00-003,Jasna,90
Warszawa,00-007,Jasna,19
Warszawa,00-013,Jasna,250
Warszawa,00-041,Jasna,113
Warszawa,00-054,Jasna,38
Warszawa,00-058,Jasna,84
Warszawa,00-766,Jaworowska,232
Warszawa,00-634,Jaworzynska,171
Warszawa,00-467,Jazdow,2
Warszawa,00-730,Jazgarzewska,166
Warszawa,00-731,Jedwabnicza,180
Warszawa,00-457,Jezierskiego Franciszka Salezego,87
Warszawa,00-281,Jezuicka,245
Warszawa,00-275,Kamienne Schodki,103
Warszawa,00-278,Kanonia,181
Warszawa,00-249,Kapitulna,74
Warszawa,00-253,Kapitulna,214
Warszawa,00-245,Kapucynska,207
Warszawa,00-327,Karasia Kazimierza,51
Warszawa,00-149,Karmelicka,188
Warszawa,00-155,Karmelicka,15
Warszawa,00-163,Karmelicka,190
Warszawa,00-168,Karmelicka,38
Warszawa,00-173,Karmelicka,115
Warszawa,00-181,Karmelicka,37
Warszawa,00-186,Karmelicka,1
Warszawa,00-149,Karmelicka,174
Warszawa,00-155,Karmelicka,68
Warszawa,00-163,Karmelicka,74
Warszawa,00-168,Karmelicka,60
Warszawa,00-173,Karmelicka,20
Warszawa,00-181,Karmelicka,41
Warszawa,00-186,Karmelicka,130
Warszawa,00-315,Karowa,248
Warszawa,00-324,Karowa,108
Warszawa,00-733,Kaszubska,105
Warszawa,00-468,Kawalerii,94
Warszawa,00-728,Kierbedzia Stanislawa,116
Warszawa,00-257,Kilinskiego Jana,81
Warszawa,00-591,Klonowa,193
Warszawa,00-775,Konduktorska,221
Warszawa,00-335,Konopczynskiego Emiliana,147
Warszawa,00-491,Konopnickiej Marii,194
Warszawa,00-206,Konwiktorska,63
Warszawa,00-216,Konwiktorska,137
Warszawa,00-217,Konwiktorska,180
Warszawa,00-206,Konwiktorska,75
Warszawa,00-216,Konwiktorska,171
Warszawa,00-217,Konwiktorska,205
Warszawa,00-328,Kopernika Mikolaja,149
Warszawa,00-336,Kopernika Mikolaja,166
Warszawa,00-359,Kopernika Mikolaja,113
Warszawa,00-367,Kopernika Mikolaja,142
Warszawa,00-768,Kostrzewskiego Franciszka,6
Warszawa,00-706,Koszykarska,130
Warszawa,00-553,Koszykowa,221
Warszawa,00-555,Koszykowa,215
Warszawa,00-562,Koszykowa,99
Warszawa,00-564,Koszykowa,126
Warszawa,00-659,Koszykowa,73
Warszawa,00-660,Koszykowa,157
Warszawa,00-662,Koszykowa,111
Warszawa,00-667,Koszykowa,130
Warszawa,00-671,Koszykowa,160
Warszawa,00-673,Koszykowa,40
Warszawa,00-675,Koszykowa,19
Warszawa,00-868,Kotlarska,212
Warszawa,00-070,Kozia,233
Warszawa,00-710,Kozlowskiej Heleny,230
Warszawa,00-218,Koscielna,136
Warszawa,00-228,Kozla,3
Warszawa,00-234,Kozla,32
Warszawa,00-431,Kozminska,239
Warszawa,00-435,Kozminska,101
Warszawa,00-448,Kozminska,38
Warszawa,00-452,Kozminska,10
Warszawa,00-047,Krakowskie Przedmiescie,46
Warszawa,00-068,Krakowskie Przedmiescie,159
Warszawa,00-071,Krakowskie Przedmiescie,36
Warszawa,00-079,Krakowskie Przedmiescie,63
Warszawa,00-047,Krakowskie Przedmiescie,42
Warszawa,00-068,Krakowskie Przedmiescie,171
Warszawa,00-071,Krakowskie Przedmiescie,115
Warszawa,00-079,Krakowskie Przedmiescie,149
Warszawa,00-322,Krakowskie Przedmiescie,96
Warszawa,00-325,Krakowskie Przedmiescie,94
Warszawa,00-333,Krakowskie Przedmiescie,150
Warszawa,00-734,Krasnolecka,84
Warszawa,00-056,Kredytowa,171
Warszawa,00-062,Kredytowa,154
Warszawa,00-056,Kredytowa,152
Warszawa,00-062,Kredytowa,194
Warszawa,00-864,Krochmalna,86
Warszawa,00-022,Krucza,74
Warszawa,00-025,Krucza,5
Warszawa,00-022,Krucza,226
Warszawa,00-025,Krucza,184
Warszawa,00-509,Krucza,47
Warszawa,00-512,Krucza,190
Warszawa,00-522,Krucza,166
Warszawa,00-525,Krucza,154
Warszawa,00-526,Krucza,36
Warszawa,00-537,Krucza,28
Warszawa,00-548,Krucza,232
Warszawa,00-380,Kruczkowskiego Leona,10
Warszawa,00-386,Kruczkowskiego Leona,55
Warszawa,00-412,Kruczkowskiego Leona,208
Warszawa,00-370,Krywulta Aleksandra,203
Warszawa,00-270,Krzywe Kolo,180
Warszawa,00-307,Krzywopoboczna,4
Warszawa,00-060,Krolewska,144
Warszawa,00-064,Krolewska,115
Warszawa,00-065,Krolewska,240
Warszawa,00-103,Krolewska,91
Warszawa,00-060,Krolewska,159
Warszawa,00-064,Krolewska,93
Warszawa,00-065,Krolewska,241
Warszawa,00-103,Krolewska,57
Warszawa,00-759,Kreta,165
Warszawa,00-418,Ksiazeca,125
Warszawa,00-498,Ksiazeca,249
Warszawa,00-062,Ksiedza Biskupa Burschego Juliusza,10
Warszawa,00-062,Ksiedza Biskupa Burschego Juliusza,61
Warszawa,00-546,Ksiedza Skorupki Ignacego,135
Warszawa,00-707,Ku Wisle,147
Warszawa,00-037,Kubusia Puchatka,31
Warszawa,00-037,Kubusia Puchatka,40
Warszawa,00-793,Kujawska,51
Warszawa,00-462,Kusocinskiego Janusza,36
Warszawa,00-703,Katna,111
Warszawa,00-197,Klopot,72
Warszawa,00-610,Lekarska,130
Warszawa,00-482,Lennona Johna,235
Warszawa,00-339,Leszczynska,67
Warszawa,00-169,Lewartowskiego Jozefa,131
Warszawa,00-185,Lewartowskiego Jozefa,248
Warszawa,00-190,Lewartowskiego Jozefa,195
Warszawa,00-169,Lewartowskiego Jozefa,126
Warszawa,00-185,Lewartowskiego Jozefa,84
Warszawa,00-190,Lewartowskiego Jozefa,226
Warszawa,00-316,Lipowa,134
Warszawa,00-575,Litewska,21
Warszawa,00-581,Litewska,224
Warszawa,00-589,Litewska,117
Warszawa,00-733,Lubkowska,117
Warszawa,00-405,Ludna,67
Warszawa,00-406,Ludna,86
Warszawa,00-413,Ludna,57
Warszawa,00-414,Ludna,94
Warszawa,00-780,Ludowa,49
Warszawa,00-658,Lwowska,193
Warszawa,00-660,Lwowska,230
Warszawa,00-759,Ladowa,131
Warszawa,00-123,Marianska,161
Warszawa,00-302,Mariensztat,61
Warszawa,00-004,Marszalkowska,143
Warszawa,00-008,Marszalkowska,229
Warszawa,00-016,Marszalkowska,175
Warszawa,00-017,Marszalkowska,50
Warszawa,00-026,Marszalkowska,27
Warszawa,00-061,Marszalkowska,104
Warszawa,00-102,Marszalkowska,57
Warszawa,00-110,Marszalkowska,175
Warszawa,00-004,Marszalkowska,48
Warszawa,00-008,Marszalkowska,225
Warszawa,00-016,Marszalkowska,148
Warszawa,00-017,Marszalkowska,195
Warszawa,00-026,Marszalkowska,126
Warszawa,00-061,Marszalkowska,121
Warszawa,00-102,Marszalkowska,134
Warszawa,00-110,Marszalkowska,97
Warszawa,00-510,Marszalkowska,22
Warszawa,00-514,Marszalkowska,153
Warszawa,00-517,Marszalkowska,235
Warszawa,00-524,Marszalkowska,71
Warszawa,00-545,Marszalkowska,139
Warszawa,00-554,Marszalkowska,96
Warszawa,00-563,Marszalkowska,20
Warszawa,00-576,Marszalkowska,54
Warszawa,00-581,Marszalkowska,40
Warszawa,00-590,Marszalkowska,82
Warszawa,00-624,Marszalkowska,100
Warszawa,00-626,Marszalkowska,109
Warszawa,00-628,Marszalkowska,235
Warszawa,00-639,Marszalkowska,188
Warszawa,00-648,Marszalkowska,127
Warszawa,00-676,Marszalkowska,171
Warszawa,00-683,Marszalkowska,49
Warszawa,00-693,Marszalkowska,5
Warszawa,00-485,Maszynskiego Piotra,45
Warszawa,00-481,Matejki Jana,129
Warszawa,00-048,Mazowiecka,103
Warszawa,00-052,Mazowiecka,2
Warszawa,00-048,Mazowiecka,222
Warszawa,00-052,Mazowiecka,130
Warszawa,00-712,Melomanow,215
Warszawa,00-428,Miechowska,97
Warszawa,00-809,Miedziana,58
Warszawa,00-814,Miedziana,216
Warszawa,00-835,Miedziana,229
Warszawa,00-080,Miodowa,79
Warszawa,00-080,Miodowa,189
Warszawa,00-246,Miodowa,11
Warszawa,00-251,Miodowa,218
Warszawa,00-208,Miedzyparkowa,247
Warszawa,00-174,Mila,126
Warszawa,00-180,Mila,96
Warszawa,00-174,Mila,202
Warszawa,00-180,Mila,21
Warszawa,00-530,Mokotowska,103
Warszawa,00-533,Mokotowska,5
Warszawa,00-534,Mokotowska,48
Warszawa,00-538,Mokotowska,45
Warszawa,00-541,Mokotowska,89
Warszawa,00-542,Mokotowska,182
Warszawa,00-543,Mokotowska,193
Warszawa,00-551,Mokotowska,72
Warszawa,00-558,Mokotowska,134
Warszawa,00-560,Mokotowska,215
Warszawa,00-561,Mokotowska,211
Warszawa,00-640,Mokotowska,84
Warszawa,00-641,Mokotowska,68
Warszawa,00-076,Moliera Jana Baptysty,125
Warszawa,00-076,Moliera Jana Baptysty,114
Warszawa,00-009,Moniuszki Stanislawa,17
Warszawa,00-014,Moniuszki Stanislawa,117
Warszawa,00-038,Moniuszki Stanislawa,140
Warszawa,00-009,Moniuszki Stanislawa,4
Warszawa,00-014,Moniuszki Stanislawa,230
Warszawa,00-038,Moniuszki Stanislawa,12
Warszawa,00-231,Mostowa,235
Warszawa,00-260,Mostowa,176
Warszawa,00-192,Muranowska,173
Warszawa,00-209,Muranowska,8
Warszawa,00-192,Muranowska,160
Warszawa,00-209,Muranowska,158
Warszawa,00-496,Mysia,201
Warszawa,00-459,Mysliwiecka,90
Warszawa,00-743,Nabielaka Ludwika,7
Warszawa,00-705,Nadrzeczna,48
Warszawa,00-158,Nalewki,63
Warszawa,00-187,Nalewki,33
Warszawa,00-158,Nalewki,129
Warszawa,00-187,Nalewki,45
Warszawa,00-562,Natolinska,32
Warszawa,00-568,Natolinska,143
Warszawa,00-719,Nehru Jawaharlala,109
Warszawa,00-098,Niecala,102
Warszawa,00-713,Niewielka,73
Warszawa,00-176,Niska,68
Warszawa,00-179,Niska,12
Warszawa,00-176,Niska,91
Warszawa,00-179,Niska,85
Warszawa,00-664,Noakowskiego Stanislawa,48
Warszawa,00-666,Noakowskiego Stanislawa,96
Warszawa,00-668,Noakowskiego Stanislawa,28
Warszawa,00-235,Nowiniarska,237
Warszawa,00-511,Nowogrodzka,7
Warszawa,00-513,Nowogrodzka,93
Warszawa,00-691,Nowogrodzka,235
Warszawa,00-695,Nowogrodzka,97
Warszawa,00-699,Nowogrodzka,15
Warszawa,00-146,Nowolipie,149
Warszawa,00-150,Nowolipie,231
Warszawa,00-146,Nowolipie,197
Warszawa,00-150,Nowolipie,67
Warszawa,00-151,Nowolipki,132
Warszawa,00-153,Nowolipki,220
Warszawa,00-160,Nowolipki,233
Warszawa,00-151,Nowolipki,125
Warszawa,00-153,Nowolipki,80
Warszawa,00-160,Nowolipki,67
Warszawa,00-260,Nowomiejska,238
Warszawa,00-271,Nowomiejska,96
Warszawa,00-466,Nowosielecka,213
Warszawa,00-750,Nowosielecka,127
Warszawa,00-741,Nowotarska,114
Warszawa,00-643,Nowowiejska,74
Warszawa,00-649,Nowowiejska,192
Warszawa,00-653,Nowowiejska,60
Warszawa,00-665,Nowowiejska,165
Warszawa,00-083,Nowy Przejazd,123
Warszawa,00-029,Nowy Swiat,135
Warszawa,00-042,Nowy Swiat,235
Warszawa,00-046,Nowy Swiat,106
Warszawa,00-083,Nowy Przejazd,249
Warszawa,00-301,Nowy Zjazd,213
Warszawa,00-029,Nowy Swiat,148
Warszawa,00-042,Nowy Swiat,106
Warszawa,00-046,Nowy Swiat,79
Warszawa,00-330,Nowy Swiat,121
Warszawa,00-357,Nowy Swiat,201
Warszawa,00-363,Nowy Swiat,148
Warszawa,00-373,Nowy Swiat,17
Warszawa,00-496,Nowy Swiat,62
Warszawa,00-497,Nowy Swiat,22
Warszawa,00-486,Nullo Franciszka,31
Warszawa,00-332,Obozna,6
Warszawa,00-340,Obozna,139
Warszawa,00-873,Ogrodowa,86
Warszawa,00-876,Ogrodowa,22
Warszawa,00-893,Ogrodowa,147
Warszawa,00-896,Ogrodowa,47
Warszawa,00-407,Okrag,77
Warszawa,00-415,Okrag,79
Warszawa,00-423,Okrag,15
Warszawa,00-910,Okurzalego Michala,168
Warszawa,00-368,Okolnik,169
Warszawa,00-629,Oleandrow,51
Warszawa,00-792,Olszewska,25
Warszawa,00-358,Ordynacka,113
Warszawa,00-364,Ordynacka,161
Warszawa,00-369,Ordynacka,165
Warszawa,00-143,Orla,127
Warszawa,00-414,Orlowicza Mieczyslawa,230
Warszawa,00-072,Ossolinskich,136
Warszawa,00-777,Padewska,222
Warszawa,00-696,Pankiewicza Jana,144
Warszawa,00-518,Parkingowa,33
Warszawa,00-759,Parkowa,122
